Instance;Replication;Seed;SI;SF;Time_s
41_wee;4;303;439.0;113.0;25.5583
52_ros;1;42;83.0;53.0;0.3832
52_hes;5;404;367.0;123.0;1.0895
52_ros;2;101;121.0;12.0;0.5218
52_ros;4;303;21.0;13.0;0.3302
51_ton;5;404;698.0;237.0;13.7410
52_ros;3;202;109.0;25.0;0.5704
52_ros;5;404;33.0;25.0;0.6285
51_ton;2;101;588.0;201.0;14.6940
41_wee;3;202;600.0;191.0;28.0192
51_ton;3;202;386.0;176.0;15.8276
42_wee;2;101;469.0;181.0;22.8136
51_ton;1;42;426.0;152.0;17.2196
41_wee;2;101;554.0;109.0;31.1903
41_wee;1;42;272.0;91.0;32.7906
61_hes;1;42;979.0;129.0;2.7275
61_hes;2;101;918.0;141.0;2.0607
41_wee;5;404;349.0;115.0;34.3156
42_wee;1;42;453.0;158.0;29.0376
61_hes;3;202;979.0;236.0;1.7659
42_wee;3;202;413.0;166.0;28.3180
61_ros;1;42;60.0;20.0;0.7832
61_ros;2;101;72.0;41.0;0.4555
61_hes;5;404;979.0;236.0;1.7046
51_wee;3;202;274.0;148.0;21.0214
61_hes;4;303;918.0;150.0;2.2421
52_ton;1;42;288.0;233.0;10.8488
61_ros;3;202;80.0;39.0;0.6399
61_ros;5;404;80.0;48.0;0.5505
61_ros;4;303;146.0;48.0;0.6417
52_ton;5;404;786.0;561.0;11.6603
52_ton;4;303;2049.0;438.0;12.6978
52_ton;3;202;898.0;125.0;13.0925
51_wee;2;101;144.0;77.0;26.9068
52_ton;2;101;426.0;192.0;14.6330
42_wee;5;404;296.0;127.0;33.0940
42_wee;4;303;476.0;146.0;34.6039
62_hes;3;202;621.0;103.0;2.4775
62_hes;2;101;549.0;91.0;2.9508
62_hes;1;42;621.0;106.0;3.6726
51_wee;4;303;723.0;91.0;29.1313
62_ros;1;42;125.0;25.0;0.6804
62_ros;2;101;118.0;23.0;0.7626
62_ros;3;202;131.0;35.0;0.6379
62_hes;4;303;549.0;101.0;2.8804
62_ros;5;404;131.0;35.0;0.5367
62_ros;4;303;64.0;23.0;0.9434
62_hes;5;404;621.0;101.0;2.3055
51_wee;5;404;319.0;155.0;31.1683
51_wee;1;42;205.0;104.0;34.9486
61_ton;5;404;1529.0;398.0;11.9875
52_wee;5;404;269.0;114.0;21.2526
52_wee;2;101;229.0;98.0;23.8442
52_wee;3;202;292.0;99.0;23.7023
52_wee;4;303;455.0;125.0;22.8568
61_ton;1;42;1589.0;514.0;16.0666
71_hes;1;42;642.0;197.0;0.9704
62_ton;3;202;1290.0;658.0;7.1137
61_ton;3;202;1042.0;318.0;17.6235
61_ton;4;303;1517.0;339.0;17.3759
52_wee;1;42;225.0;82.0;27.7373
71_hes;2;101;858.0;122.0;2.0965
71_ros;1;42;83.0;30.0;0.3733
71_ros;3;202;69.0;34.0;0.4043
71_hes;4;303;858.0;162.0;1.7671
71_ros;4;303;73.0;30.0;0.3995
71_ros;2;101;83.0;51.0;0.7688
71_ros;5;404;69.0;29.0;0.4292
71_hes;3;202;816.0;115.0;3.4219
61_ton;2;101;1411.0;326.0;21.5318
71_hes;5;404;554.0;116.0;3.9279
61_wee;2;101;1195.0;213.0;25.2265
62_ton;4;303;1799.0;878.0;15.9512
62_ton;1;42;2251.0;612.0;18.2462
71_ton;3;202;2621.0;906.0;9.0518
71_ton;4;303;1602.0;555.0;9.3480
62_ton;2;101;1301.0;603.0;19.4347
71_ton;2;101;1167.0;460.0;10.6244
71_ton;5;404;1349.0;460.0;10.5073
72_ros;1;42;81.0;17.0;0.9572
72_hes;2;101;813.0;111.0;3.6256
72_hes;1;42;639.0;111.0;4.5399
72_ros;2;101;118.0;30.0;0.4038
72_ros;3;202;102.0;30.0;0.3896
72_ros;5;404;115.0;26.0;0.4684
72_hes;5;404;389.0;92.0;3.6262
72_hes;4;303;813.0;146.0;4.1472
72_ros;4;303;83.0;17.0;0.8836
72_hes;3;202;643.0;97.0;5.4014
62_ton;5;404;823.0;311.0;24.4071
61_wee;5;404;497.0;211.0;36.0428
71_ton;1;42;1798.0;397.0;22.3067
61_wee;3;202;891.0;256.0;40.2169
72_ton;1;42;965.0;733.0;8.6912
72_ton;2;101;1733.0;955.0;8.8439
71_wee;1;42;1220.0;329.0;21.6783
61_wee;1;42;862.0;177.0;42.5447
61_wee;4;303;548.0;191.0;42.4941
72_ton;3;202;1197.0;245.0;12.2188
71_wee;2;101;796.0;204.0;24.9095
71_wee;4;303;1206.0;392.0;21.1590
62_wee;3;202;574.0;206.0;36.1399
62_wee;2;101;694.0;201.0;38.8450
72_ton;4;303;2170.0;375.0;17.1024
72_ton;5;404;1470.0;375.0;17.2382
62_wee;4;303;497.0;139.0;38.0479
62_wee;1;42;772.0;174.0;41.8227
62_wee;5;404;814.0;158.0;38.7838
72_wee;2;101;730.0;229.0;20.6149
71_wee;5;404;1305.0;273.0;29.5646
71_wee;3;202;1305.0;175.0;35.7251
72_wee;4;303;545.0;252.0;17.3421
72_wee;3;202;663.0;244.0;20.9261
72_wee;1;42;779.0;152.0;25.0682
72_wee;5;404;752.0;202.0;18.2746
